period,draw_date,bonus_name,num1,num2,num3,num4,num5,num6,num7,num8,num9
101000006,2012/1/20,?亦??Ⅳ????,20,27,6,1,9,46,,,
101000006,2012/1/20,?亦??Ⅳ????,21,35,29,13,43,36,,,
101000006,2012/1/20,?亦??Ⅳ????,21,30,42,47,4,3,,,
101000006,2012/1/20,?亦??Ⅳ????,21,10,29,3,9,34,,,
101000006,2012/1/20,?亦??Ⅳ????,21,26,47,39,36,17,,,
101000006,2012/1/20,?亦??Ⅳ????,21,8,13,18,28,10,,,
101000006,2012/1/20,?亦??Ⅳ????,22,25,13,47,24,19,,,
101000006,2012/1/20,?亦??Ⅳ????,22,18,33,19,1,28,,,
101000006,2012/1/20,?亦??Ⅳ????,24,19,34,45,42,30,,,
101000006,2012/1/20,?亦??Ⅳ????,24,11,23,35,3,47,,,
101000006,2012/1/20,?亦??Ⅳ????,25,10,46,45,2,1,,,
101000006,2012/1/20,?亦??Ⅳ????,25,19,13,10,9,23,,,
101000006,2012/1/20,?亦??Ⅳ????,25,41,6,21,26,28,,,
101000006,2012/1/20,?亦??Ⅳ????,26,30,12,49,1,40,,,
101000006,2012/1/20,?亦??Ⅳ????,26,10,21,12,41,16,,,
101000006,2012/1/20,?亦??Ⅳ????,26,46,3,10,36,21,,,
101000006,2012/1/20,?亦??Ⅳ????,27,24,20,38,14,22,,,
101000006,2012/1/20,?亦??Ⅳ????,27,15,11,39,38,25,,,
101000006,2012/1/20,?亦??Ⅳ????,27,43,26,47,35,30,,,
101000006,2012/1/20,?亦??Ⅳ????,27,12,20,15,6,33,,,
101000006,2012/1/20,?亦??Ⅳ????,27,5,33,7,28,46,,,
101000006,2012/1/20,?亦??Ⅳ????,28,23,32,39,14,11,,,
101000006,2012/1/20,?亦??Ⅳ????,28,20,10,33,8,2,,,
101000006,2012/1/20,?亦??Ⅳ????,28,48,39,44,45,13,,,
101000006,2012/1/20,?亦??Ⅳ????,29,13,25,16,7,38,,,
101000006,2012/1/20,?亦??Ⅳ????,30,38,9,10,22,27,,,
101000006,2012/1/20,?亦??Ⅳ????,30,9,27,40,1,6,,,
101000006,2012/1/20,?亦??Ⅳ????,32,49,25,20,7,48,,,
101000006,2012/1/20,?亦??Ⅳ????,32,21,39,45,5,11,,,
101000006,2012/1/20,?亦??Ⅳ????,32,33,35,24,2,36,,,
101000006,2012/1/20,?亦??Ⅳ????,32,15,49,8,42,38,,,
